food_name,category,calories,protein,fat,carbohydrates,sugar,sodium,fiber,suitable_for_diabetes,suitable_for_hypertension,suitable_for_heart_disease
Bột yến mạch,Sáng,150,5,3,27,1,0,4,True,True,True
Trứng xào,Sáng,140,12,10,1,1,130,0,True,True,True
Bánh xèo (Pancakes),Sáng,250,6,10,30,10,400,1,False,False,False
Sữa chua Hy Lạp,Sáng,100,10,0,4,4,40,0,True,True,True
Thịt xông khói,Sáng,200,15,15,0,0,600,0,True,False,False
Bánh mì bơ,Sáng,220,6,12,20,2,200,7,True,True,True
Sinh tố hoa quả,Sáng,180,2,1,40,30,10,3,False,True,True
Ngũ cốc sữa,Sáng,210,7,4,35,12,250,2,False,False,True
Pudding hạt chia,Sáng,160,6,9,15,5,10,6,True,True,True
Bánh mì Bagel phô mai,Sáng,350,10,12,45,6,450,2,False,False,False
Salad gà nướng,Trưa,300,35,10,10,3,150,4,True,True,True
Burger phô mai,Trưa,500,25,30,40,8,800,2,False,False,False
Bát Quinoa,Trưa,350,15,12,45,2,100,8,True,True,True
Sandwich gà tây,Trưa,320,20,8,35,4,600,3,True,False,True
Súp đậu lăng,Trưa,200,12,2,30,3,400,10,True,False,True
Pizza,Trưa,280,12,10,35,3,600,2,False,False,False
Salad Caesar,Trưa,350,10,25,15,2,500,3,True,False,False
Wrap cá ngừ,Trưa,310,22,10,30,2,450,2,True,False,True
Rau củ xào,Trưa,250,8,10,30,5,300,6,True,True,True
Mì Ý Bolognese,Trưa,450,20,15,55,6,700,4,False,False,False
Cá hồi nướng,Tối,400,40,25,0,0,100,0,True,True,True
Bít tết & Khoai tây,Tối,600,45,30,35,2,300,4,True,True,False
Gà quay,Tối,350,35,15,5,0,200,0,True,True,True
Cà ri rau củ,Tối,300,10,15,35,5,400,7,True,False,True
Mì Ý thịt viên,Tối,550,25,20,60,8,800,5,False,False,False
Mì Ziti nướng,Tối,480,20,18,50,6,650,3,False,False,False
Đậu hũ xào,Tối,280,18,12,20,4,250,4,True,True,True
Taco tôm,Tối,320,24,10,30,2,450,3,True,False,True
Bò hầm,Tối,450,30,20,30,4,550,5,True,False,False
Risotto nấm,Tối,400,10,18,45,3,400,2,True,False,True
Táo,Ăn vặt,95,0,0,25,19,1,4,True,True,True
Chuối,Ăn vặt,105,1,0,27,14,1,3,True,True,True
Hạnh nhân,Ăn vặt,160,6,14,6,1,0,3,True,True,True
Khoai tây chiên,Ăn vặt,150,2,10,15,0,170,1,False,False,False
Thanh sô cô la,Ăn vặt,210,3,13,23,20,30,1,False,False,False
Cà rốt cắt khúc,Ăn vặt,40,1,0,9,4,60,3,True,True,True
Hummus,Ăn vặt,70,2,5,4,0,100,1,True,True,True
Phô mai que,Ăn vặt,80,6,6,1,0,200,0,True,False,False
Sữa chua hoa quả,Ăn vặt,150,5,2,25,15,50,1,False,True,True
Quả mọng hỗn hợp,Ăn vặt,60,1,0,15,10,0,5,True,True,True
Trứng luộc,Ăn vặt,70,6,5,0,0,60,0,True,True,True
Bánh gạo,Ăn vặt,35,1,0,7,0,10,0,True,True,True
Bơ đậu phộng,Ăn vặt,190,7,16,6,2,150,2,True,True,True
Sữa lắc protein,Ăn vặt,150,25,2,5,2,100,0,True,True,True
Thanh ngũ cốc,Ăn vặt,140,3,5,20,10,80,2,False,True,True
Đậu nành Nhật,Ăn vặt,120,11,5,10,1,10,5,True,True,True
Bỏng ngô,Ăn vặt,100,3,1,20,0,150,4,True,False,True
Cần tây bơ đậu phộng,Ăn vặt,150,5,12,8,2,100,3,True,True,True
Phô mai tươi,Ăn vặt,100,12,4,4,3,350,0,True,False,True
Hạt óc chó,Ăn vặt,180,4,18,4,1,0,2,True,True,True
